,Home_Team,Away_Team,Arena,City,State,Country,Date,Day,Time,Price
39,Indianapolis Colts,Washington Commanders,Lucas Oil Stadium,Indianapolis,IN,USA,2022-10-30,Sun,4:25 PM,$31
40,Buffalo Bills,Green Bay Packers,Highmark Stadium,Orchard Park,NY,USA,2022-10-30,Sun,8:20 PM,$328
41,Cleveland Browns,Cincinnati Bengals,FirstEnergy Stadium,Cleveland,OH,USA,2022-10-31,Mon,8:15 PM,$80
42,Houston Texans,Philadelphia Eagles,NRG Stadium,Houston,TX,USA,2022-11-03,Thu,7:15 PM,$53
43,Chicago Bears,Miami Dolphins,Soldier Field,Chicago,IL,USA,2022-11-06,Sun,12:00 PM,$126
44,Jacksonville Jaguars,Las Vegas Raiders,TIAA Bank Field,Jacksonville,FL,USA,2022-11-06,Sun,1:00 PM,$45
45,Cincinnati Bengals,Carolina Panthers,Paycor Stadium (formerly Paul Brown Stadium),Cincinnati,OH,USA,2022-11-06,Sun,1:00 PM,$109
46,Washington Commanders,Minnesota Vikings,FedEx Field,Landover,MD,USA,2022-11-06,Sun,1:00 PM,$48
47,Atlanta Falcons,Los Angeles Chargers,Mercedes-Benz Stadium,Atlanta,GA,USA,2022-11-06,Sun,1:00 PM,$45
48,New York Jets,Buffalo Bills,MetLife Stadium,East Rutherford,NJ,USA,2022-11-06,Sun,1:00 PM,$90
49,Detroit Lions,Green Bay Packers,Ford Field,Detroit,MI,USA,2022-11-06,Sun,1:00 PM,$121
50,New England Patriots,Indianapolis Colts,Gillette Stadium,Foxborough,MA,USA,2022-11-06,Sun,1:00 PM,$143
51,Arizona Cardinals,Seattle Seahawks,State Farm Stadium,Glendale,AZ,USA,2022-11-06,Sun,2:05 PM,$63
52,Tampa Bay Buccaneers,Los Angeles Rams,Raymond James Stadium,Tampa,FL,USA,2022-11-06,Sun,4:25 PM,$180
53,Kansas City Chiefs,Tennessee Titans,GEHA Field at Arrowhead Stadium,Kansas City,MO,USA,2022-11-06,Sun,7:20 PM,$164
54,New Orleans Saints,Baltimore Ravens,Caesars Superdome,New Orleans,LA,USA,2022-11-07,Mon,7:15 PM,$85
55,Carolina Panthers,Atlanta Falcons,Bank of America Stadium,Charlotte,NC,USA,2022-11-10,Thu,8:15 PM,$37
56,Tennessee Titans,Denver Broncos,Nissan Stadium - Nashville - Formerly LP Field,Nashville,TN,USA,2022-11-13,Sun,12:00 PM,$169
57,Chicago Bears,Detroit Lions,Soldier Field,Chicago,IL,USA,2022-11-13,Sun,12:00 PM,$100
58,Kansas City Chiefs,Jacksonville Jaguars,GEHA Field at Arrowhead Stadium,Kansas City,MO,USA,2022-11-13,Sun,12:00 PM,$172
59,New York Giants,Houston Texans,MetLife Stadium,East Rutherford,NJ,USA,2022-11-13,Sun,1:00 PM,$69
60,Buffalo Bills,Minnesota Vikings,Highmark Stadium,Orchard Park,NY,USA,2022-11-13,Sun,1:00 PM,$225
61,Miami Dolphins,Cleveland Browns,Hard Rock Stadium,Miami,FL,USA,2022-11-13,Sun,1:00 PM,$112
62,Las Vegas Raiders,Indianapolis Colts,Allegiant Stadium,Las Vegas,NV,USA,2022-11-13,Sun,1:05 PM,$234
63,Los Angeles Rams,Arizona Cardinals,SoFi Stadium,Inglewood,CA,USA,2022-11-13,Sun,1:25 PM,$58
64,Green Bay Packers,Dallas Cowboys,Lambeau Field,Green Bay,WI,USA,2022-11-13,Sun,3:25 PM,$274
65,Tampa Bay Buccaneers,Seattle Seahawks,Allianz Arena,Munich,,Germany,2022-11-13,Sun,3:30 PM,$559
66,San Francisco 49ers,Los Angeles Chargers,Levi's Stadium,Santa Clara,CA,USA,2022-11-13,Sun,5:20 PM,$114
67,Philadelphia Eagles,Washington Commanders,Lincoln Financial Field,Philadelphia,PA,USA,2022-11-14,Mon,8:15 PM,$125
68,Green Bay Packers,Tennessee Titans,Lambeau Field,Green Bay,WI,USA,2022-11-17,Thu,7:15 PM,$137
69,Houston Texans,Washington Commanders,NRG Stadium,Houston,TX,USA,2022-11-20,Sun,12:00 PM,$23
70,New Orleans Saints,Los Angeles Rams,Caesars Superdome,New Orleans,LA,USA,2022-11-20,Sun,12:00 PM,$48
71,New England Patriots,New York Jets,Gillette Stadium,Foxborough,MA,USA,2022-11-20,Sun,1:00 PM,$128
72,Baltimore Ravens,Carolina Panthers,M&T Bank Stadium,Baltimore,MD,USA,2022-11-20,Sun,1:00 PM,$75
73,New York Giants,Detroit Lions,MetLife Stadium,East Rutherford,NJ,USA,2022-11-20,Sun,1:00 PM,$56
